bookID,authors,average_rating,isbn,isbn13,language_code,  num_pages,publication_date,publisher,ratings_count,text_reviews_count,title
1,J.K. Rowling/Mary GrandPré,4.57,439785960,9.78044E+12,eng,652,9/16/2006,Scholastic Inc.,2095690,27591,Harry Potter and the Half-Blood Prince (Harry Potter  #6)
2,J.K. Rowling/Mary GrandPré,4.49,439358078,9.78044E+12,eng,870,9/1/2004,Scholastic Inc.,2153167,29221,Harry Potter and the Order of the Phoenix (Harry Potter  #5)
4,J.K. Rowling,4.42,439554896,9.78044E+12,eng,352,11/1/2003,Scholastic,6333,244,Harry Potter and the Chamber of Secrets (Harry Potter  #2)
5,J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78044E+12,eng,435,5/1/2004,Scholastic Inc.,2339585,36325,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3)
8,J.K. Rowling/Mary GrandPré,4.78,439682584,9.78044E+12,eng,2690,9/13/2004,Scholastic,41428,164,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5)
9,W. Frederick Zimmerman,3.74,976540606,9.78098E+12,en-US,152,4/26/2005,Nimble Books,19,1,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation"
10,J.K. Rowling,4.73,439827604,9.78044E+12,eng,3342,9/12/2005,Scholastic,28242,808,Harry Potter Collection (Harry Potter  #1-6)
12,Douglas Adams,4.38,517226952,9.78052E+12,eng,815,11/1/2005,Gramercy Books,3628,254,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5)
13,Douglas Adams,4.38,345453743,9.78035E+12,eng,815,4/30/2002,Del Rey Books,249558,4080,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5)
14,Douglas Adams,4.22,1400052920,9.7814E+12,eng,215,8/3/2004,Crown,4930,460,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)
16,Douglas Adams/Stephen Fry,4.22,739322206,9.78074E+12,eng,6,3/23/2005,Random House Audio,1266,253,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)
18,Douglas Adams,4.38,517149257,9.78052E+12,eng,815,1/17/1996,Wings Books,2877,195,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5)
21,Bill Bryson,4.21,076790818X,9.78077E+12,eng,544,9/14/2004,Broadway Books,248558,9396,A Short History of Nearly Everything
22,Bill Bryson,3.44,767915062,9.78077E+12,eng,55,12/3/2002,Broadway Books,7270,499,Bill Bryson's African Diary
23,Bill Bryson,3.87,767910435,9.78077E+12,eng,256,9/14/2004,Broadway Books,2088,131,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right
24,Bill Bryson,4.07,767903862,9.78077E+12,eng,335,5/15/2001,Broadway Books,72451,4245,In a Sunburned Country
25,Bill Bryson,3.9,076790382X,9.78077E+12,eng,304,6/28/2000,Broadway Books,49240,2211,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away
26,Bill Bryson,3.83,60920084,9.78006E+12,eng,299,8/28/1990,William Morrow Paperbacks,45712,2257,The Lost Continent: Travels in Small Town America
27,Bill Bryson,3.86,380713802,9.78038E+12,eng,254,3/28/1993,William Morrow Paperbacks,48701,2238,Neither Here nor There: Travels in Europe
28,Bill Bryson,3.91,380727501,9.78038E+12,eng,324,5/28/1997,William Morrow Paperbacks,80609,3301,Notes from a Small Island
29,Bill Bryson,3.93,380715430,9.78038E+12,eng,270,9/28/1991,William Morrow Paperbacks,28489,2085,The Mother Tongue: English and How It Got That Way
30,J.R.R. Tolkien,4.59,345538374,9.78035E+12,eng,1728,9/25/2012,Ballantine Books,101233,1550,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
31,J.R.R. Tolkien,4.5,618517650,9.78062E+12,eng,1184,10/21/2004,Houghton Mifflin Harcourt,1710,91,The Lord of the Rings (The Lord of the Rings  #1-3)
34,J.R.R. Tolkien,4.36,618346252,9.78062E+12,eng,398,9/5/2003,Houghton Mifflin Harcourt,2128944,13670,The Fellowship of the Ring (The Lord of the Rings  #1)
35,J.R.R. Tolkien/Alan  Lee,4.5,618260587,9.78062E+12,en-US,1216,10/1/2002,Houghton Mifflin Harcourt,1618,140,The Lord of the Rings (The Lord of the Rings  #1-3)
36,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,9.78062E+12,eng,218,11/5/2003,Houghton Mifflin Harcourt,19822,46,The Lord of the Rings: Weapons and Warfare
37,Jude Fisher,4.5,618510826,9.78062E+12,eng,224,11/15/2004,Houghton Mifflin Harcourt,359,6,The Lord of the Rings: Complete Visual Companion
45,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9.78098E+12,eng,558,7/28/2005,Pragmatic Bookshelf,1430,59,Agile Web Development with Rails: A Pragmatic Guide
50,Gary Paulsen,3.72,689840926,9.78069E+12,eng,208,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,270244,12017,Hatchet (Brian's Saga  #1)
51,Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493,9.78156E+12,eng,48,8/28/1994,Teacher Created Resources,36,2,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom"
53,Gary Paulsen,3.88,385326505,9.78039E+12,eng,144,1/23/2001,Delacorte Press,2067,334,Guts: The True Stories behind Hatchet and the Brian Books
54,Molly Hatchet,4.33,1575606240,9.78158E+12,eng,56,6/10/2003,Cherry Lane Music Company,6,0,Molly Hatchet - 5 of the Best
55,Dale Peck,3.45,1595580271,9.7816E+12,en-US,228,11/1/2005,The New Press,99,16,Hatchet Jobs: Writings on Contemporary Fiction
57,Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9.7816E+12,eng,304,11/1/2005,Changeling Press,167,4,A Changeling for All Seasons (Changeling Seasons #1)
58,Delia Sherman,3.6,670059676,9.78067E+12,eng,256,8/17/2006,Viking Juvenile,978,111,Changeling (Changeling  #1)
59,Patricia A. McKillip,4.06,141312629,9.78014E+12,eng,137,4/14/2003,Firebird,4454,302,The Changeling Sea
61,Zilpha Keatley Snyder,4.17,595321801,9.7806E+12,eng,228,6/8/2004,iUniverse,1176,96,The Changeling
63,Kate Horsley,3.55,1590301943,9.78159E+12,eng,339,4/12/2005,Shambhala,301,43,The Changeling
66,Philippa Carr,3.98,449146979,9.78045E+12,eng,369,8/28/1990,Ivy Books,345,12,The Changeling (Daughters of England  #15)
67,Edward P. Jones,3.83,61159174,9.78006E+12,eng,388,8/29/2006,Amistad,29686,2626,The Known World
68,Edward P. Jones/Kevin R. Free,3.83,006076273X,9.78006E+12,en-US,14,6/15/2004,HarperAudio,55,12,The Known World
69,Edward P. Jones,3.83,60749911,9.78006E+12,eng,576,6/15/2004,Harper,22,3,The Known World
71,Satyajit Das,3.83,273704745,9.78027E+12,eng,334,5/15/2006,FT Press,1456,82,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives
72,Mark Smylie,4.13,1932386106,9.78193E+12,eng,352,12/14/2005,Archaia,52,4,Artesia: Adventures in the Known World
